      3
     3.00777D+06    4.34148D+01    2.93452D+02   -1.99983D+01    3.85076D+01    1.44049D+00   -1.25183D+02   -2.64086D+02    2.64911D+01
     3.14188D+06    5.28108D+01    2.29965D+02    3.24368D+01    2.70019D+01   -3.17449D+01   -1.46225D+02    1.69939D+02   -5.12148D+01
     6.87499D+06    6.20573D+01    1.72044D+02   -1.31781D+01   -5.80073D+01    1.76805D+01   -1.86616D+01    7.78391D+01   -1.52289D+02
